id,action
0,2
1,3
2,2
3,3
4,2
5,2
6,4
7,0
8,2
9,2
10,4
11,4
12,0
13,0
14,0
15,4
16,4
17,4
18,4
19,3
20,2
21,3
22,1
23,0
24,1
25,4
26,4
27,3
28,4
29,2
30,2
31,1
32,2
33,3
34,3
35,4
36,0
37,3
38,3
39,4
40,1
41,4
42,0
43,3
44,3
45,1
46,2
47,0
48,4
49,0
50,3
51,3
52,0
53,0
54,1
55,3
56,0
57,4
58,2
59,3
60,4
61,2
62,1
63,1
64,0
65,1
66,1
67,4
68,3
69,2
70,4
71,4
72,3
73,2
74,0
75,4
76,0
77,4
78,0
79,2
80,2
81,3
82,0
83,3
84,2
85,1
86,1
87,0
88,1
89,4
90,0
91,1
92,0
93,0
94,4
95,2
96,3
97,3
98,0
99,4
100,2
101,3
102,3
103,0
104,0
105,4
106,3
107,1
108,0
109,1
110,0
111,3
112,4
113,2
114,0
115,3
116,0
117,3
118,1
119,0
120,4
121,0
122,3
123,0
124,0
125,3
126,1
127,0
128,3
129,2
130,2
131,4
132,2
133,1
134,2
135,0
136,3
137,4
138,0
139,4
140,2
141,1
142,0
143,2
144,0
145,0
146,3
147,2
148,4
149,0
150,0
151,3
152,3
153,4
154,0
155,0
156,4
157,2
158,1
159,2
160,1
161,4
162,3
163,1
164,2
165,1
166,2
167,2
168,0
169,0
170,3
171,4
172,1
173,3
174,2
175,2
176,3
177,3
178,3
179,0
180,1
181,4
182,2
183,3
184,2
185,0
186,2
187,0
188,1
189,2
190,2
191,1
192,0
193,2
194,4
195,3
196,2
197,2
198,2
199,4
200,2
201,4
202,4
203,1
204,2
205,1
206,2
207,2
208,0
209,2
210,4
211,2
212,2
213,1
214,2
215,3
216,1
217,0
218,1
219,2
220,0
221,3
222,0
223,1
224,0
225,2
226,2
227,1
228,0
229,3
230,3
231,0
232,1
233,0
234,0
235,4
236,0
237,0
238,3
239,2
240,2
241,4
242,2
243,3
244,0
245,4
246,4
247,1
248,0
249,2
250,3
251,0
252,1
253,4
254,0
255,2
256,0
257,0
258,1
259,3
260,2
261,2
262,1
263,3
264,0
265,0
266,0
267,2
268,0
269,2
270,4
271,0
272,3
273,4
274,3
275,3
276,1
277,3
278,3
279,1
280,2
281,0
282,3
283,1
284,0
285,4
286,3
287,1
288,3
289,3
290,0
291,1
292,1
293,2
294,3
295,0
296,1
297,2
298,3
299,1
300,2
301,4
302,1
303,2
304,2
